P#,Country,DRM Pillar,Prior Action,Result Indicator
P122738,Panama,Disaster Risk Financing strategies and instruments,"DICRE has furnished to the Borrower's Executive Branch a proposal to expand the functions and responsibilities of DICRE so as to enable said directorate to, inter alia, design, develop and implement financial protection measures in connection with disaster risks.","Indicator 3.1 DRM financial protection policies, strategies, or instruments developed."
P125943,Philippines,DRM policies and institutions,"Enactment of the 2010 Disaster Risk Reduction and Management Act (Republic Act No.10121) of May 2010. This law seeks to mainstream risk reduction into development policies and processes. Focus has been expanded from ex-post actions and funding for emergency response, relief and recovery to include exante actions and funding for risk reduction, preparedness, and prevention.","DILG supports the establishment of functional DRRM units or offices.
NDRRMC develops a monitoring system to track disaster-related financing; updated guidelines on the use of LGU Local Disaster Risk Reduction and Management Funds (LDRRMF) are issued.
NDRRMC has rolled out training programs for government authorities to conduct post-disaster needs assessments and emergency preparedness drills."
P125943,Philippines,Sector-specific risk reduction measures,Adoption of the Strategic National Action Plan for Disaster Risk Reduction (Executive Order No. 888) of June 2010.This is a 10-year plan to achieve commitments made under the Hyogo Framework of Action.,"Provinces have mainstreamed climate change adaptation and disaster risk reduction measures into their Provincial Development and Physical Framework Plans (PDPFP).
Disaster risk reduction measures are mainstreamed into at least three sectors: health, transport, and social development.
Department of Finance has prepared its catastrophe risk financing strategy."
P126583,Colombia,DRM policies and institutions,"The Borrower has: (a) approved a national policy and a national system for disaster risk management, as evidenced by law 1523 of April 24, 2012, duly published in the Borrower's Congress Gazette on April 24, 2012. The Borrower has: (b) created a national unit for the coordination of a national disaster risk management system, as evidenced by Decree 4147 of November 3, 2011 published in the Borrower's Official Gazette on November 3, 2011.","Number of DRM instruments for inter-institutional coordination of the National DRM system, designed and approved.
Number of formulated Municipal Plans under TA of UNGRD.
National Technical Assistance (TA) Program in DRM and Climate Change Adaptation (CCA), designed, approved and implemented.
Environmental Methodology for Damage, Losses and Needs Assessment (EDANA) designed and implemented."
P126583,Colombia,Risk Identification,"The Borrower has enacted a law which mandates the development of a methodology for the formulation and consolidation of a national inventory of settlements in high risk areas, as evidenced by Article 218 of Law 1450 of June 16, 2011 duly published in the Borrower's Official Gazette on June 16, 2011.","Municipalities that report information on at least one settlement in the inventory of settlements located in high-risk areas, under the guidelines of the MVCT.
Number of municipalities that have been assisted and trained in the application of the methodology to design inventories of high-risk areas*
Analysis documents of resettlement processes (relocation) of families in areas of non-mitigable high risk, as an input to the preparation of guidelines for the resettlement of population in such areas."
P126583,Colombia,Territorial and urban planning,"The Borrower has mandated the identification and zoning of hazard and risk areas and the definition of specific mitigation measures as part of the review process for the issuance of new land use plans and for the revision of existing land use plans, as evidenced by Article 189 of Decree 019 of January 10, 2012 duly published in the Borrower's Official Gazette on January 10, 2012.","Number of Watershed Management Plans (POMCA) that have included DRM in their design.
Number of municipalities that agreed to revise their land use plans (POT) with the CAR, under guidelines of Art. 189, Decree 019 of 2012.
Departments with reports of CCA initiatives or projects under implementation integrating risk understanding and risk reduction actions, implemented within the Territorial CC Mgmt. Plan (PIGCCT)."
P147454,Sri Lanka,DRM policies and institutions,"The Borrower, through its Cabinet of Ministers' decision dated January 3, 2014, on Cabinet Paper No. 13/1829/548/012, has approved the National Disaster Management Plan, aimed at ensuring preparedness for disasters and any other emergencies, risk prevention, and the prevention and mitigation of disaster, and prepared and formulated by the National Council for Disaster Management based on the National DM Policy, in accordance with Sections 4(b) and (c) of the Disaster Management Act.","9 basin-wide risk mitigation investment plans developed
Approval of a national monitoring framework to measure implementation of the Comprehensive Disaster Management Plan
Guidance on slope angles in new road construction developed"
P147454,Sri Lanka,DRM policies and institutions,"The Borrower, through its Cabinet of Ministers' decision dated November 29, 2013, on Cabinet Paper No. 13/1524/548/009, has adopted a national policy and program on the management of disasters (the ""National DM Policy""), in accordance with Section 4(a) of the Disaster Management Act.","Government circular issued on use of policies and guidelines on physical planning, resettlements and local governance for Disaster Risk Management (DRM)
National Disaster Risk Financing and Insurance strategy
Fiscal disaster risk assessment completed"
P147454,Sri Lanka,Risk Identification,"The Borrower, through its Cabinet of Ministers' decision dated August 29, 2013 on Cabinet Paper No. 13/1198/533/013, has approved the proposal to establish a steering committee to monitor the national program for the common use and sharing of spatial data and information.","Geospatial data sharing platform established to share disaster risk information amongst relevant stakeholders
Disaster risk profiles available at a national level
Line ministries and agencies access the data sharing platform"
P148861,Seychelles,DRM policies and institutions,"The Borrower's National Assembly has adopted the Disaster Management Act, which provides a legal framework for disaster risk management including both a national disaster risk management plan and an integrated emergency management system.","Districts have updated protocols for preparedness and response
The DRDM conducts annual drills and exercises"
P148861,Seychelles,Risk Identification,"The Borrower has established a historic loss and damage database in collaboration with the United Nations International Strategy for Disaster Reduction and the Indian Ocean Commission, which is updated annually and fully accessible to all.","A geospatial risk data sharing platform updated annually
Line Ministries, agencies and private sector include risk information in their development projects"
P148861,Seychelles,Early Warning Systems,"The Borrower's Cabinet of Ministers has approved an updated policy for disaster risk management submitted by the Minister for Environment and Energy, which establishes a fully functional early warning system, increases preparedness through updated sector contingency plans, and provides for the carrying out of information dissemination activities.","Annual public DRM education and awareness campaigns are conducted.
At least 5 contingency plans have been updated and are officially approved"
P149831,Peru,Public investment at the central level,"The Borrower, through MINAGRI, has taken measures to improve the design of flood protection programs at the national and sub-national level, through: i) the expansion of the mandate of the National Water Authority to conduct hydraulic studies that support the design of regional and local flood protection programs; and ii) the definition of specific minimum standards for the preparation of pre-investment studies for flood protection public investments projects under the SNIP framework, as evidenced by the issuance of Supreme Decree No. 006-2014-MINAGRI of May 23, 2014 and MEF Directorial Resolution No. 006-2014-EF/63.01 of September 3, 2014.",Number of approved studies for flood risk prevention and mitigation in watersheds
P149831,Peru,Sector-specific risk reduction measures,"The Borrower, through MVCS, established a financing mechanism for a pilot program to reduce seismic vulnerability of low-income housing as evidenced by the issuance of Law 30191 for the Prevention, Mitigation and Attention to Disasters of May 9, 2014 and Ministerial Resolution No. 172-2014-VIVIENDA of June 5, 2014 approving the operational rules for the ""Grant for the Protection of Vulnerable Housing to Seismic Risk.""",Share of eligible low-income households covered by the Grant for Protection of Housing Vulnerable to Seismic Risk
P149831,Peru,Sector-specific risk reduction measures,"The Borrower, through MINEDU, has adopted policies to integrate seismic risk reduction considerations for existing and new school infrastructure in the Borrower's territory through the establishment of PRONIED, as evidenced by the issuance of Supreme Decree No. 004-2014-MINEDU of May 30, 2014.",Share of seismic risk reduction in school infrastructure in the Lima Metropolitan Area as a result of PRONIED implementation
P149831,Peru,Fiscal Risk,"The Borrower has strengthened the financial mechanisms for the implementation of the National Disaster Risk Management Plan (PLANAGERD), through the integration of the existing DRM budgetary program into the new DRM policy framework established by the PLANAGERD, and enabling the inclusion of disaster risk information into regional development planning, as evidenced by: i) the issuance of Supreme Decree No. 034-2014-PCM of May 12, 2014 approving the PLANAGERD 2014-2012; the ii) inclusion of the necessary budgetary allocations for the DRM budgetary program in the 2015 National Budgetary Law No. 30281 of December 4, 2014; and iii) the issuance of CENEPRED Administrative Resolution No. 044-2014-CENEPRED/J of May 23, 2014 approving the guidelines for the incorporation of DRM in the Regional Development Plans.","Annual budgetary performance report on PLANAGERD implementation under the results-based budgeting programs
Number of regional governments that have approved regional plans for the prevention and reduction of disaster risk"
P149831,Peru,Resilient Reconstruction,"The Borrower has taken measures to improve post-disaster recovery and reconstruction processes in the aftermath of a disaster through the establishment of a regulatory and institutional framework for reconstruction, as evidenced by the issuance of : i) Supreme Decree No. 034-2014-PCM approving the PLANAGERD-2014-2012, of May 12, 2014; and ii) defining internal coordination mechanisms to finance rehabilitation and reconstruction processes, as evidenced by MEF Ministerial Resolution No. 034-2015-EF/10 of January 22, 2015.","Number of National Government agencies with approved operational continuity plans in the event of disasters
Policies and procedures for the financing of post-disaster rehabilitation and reconstruction processes
Number of National Government sectors that approve sector guidelines for the post-disaster reconstruction process"
P155656,Philippines,Risk Identification,"The Borrower has provided specific allocations for Risk Resiliency Programs, through the 2015 General Appropriations Act.","Result Indicator A1. A methodology for national-level risk-informed planning has been developed and applied by the National Economic and Development Authority in planning and public investment programming.
Result Indicator A2. Disaster risk reduction measures are integrated in revisions to the National Building Code of the Philippines (NBCP) developed by the Department of Public Works and Highways.
Result Indicator A3. Provincial Commodity Investment Plans (PCIPs) developed using the expanded Vulnerability and Suitability Assessment (eVSA) tool are approved by the Department of Agriculture under the Philippine Rural Development Program (PRDP) and under implementation.
Result Indicator A4. Policy framework for post-disaster shelter assistance (through recovery and reconstruction phases) formulated by the member agencies of the Social Development Committee and endorsed to the Social Development Committee – Technical Board.
Result Indicator A5. Multi-hazard vulnerability assessments of priority cultural heritage sites completed by the Department of Tourism and assessment methodology adopted in the Philippine Standards for Conservation."
P155656,Philippines,Public investment at the central level,"The National Economic and Development Authority has issued the midterm update to the Philippine Development Plan, revising the Borrower’s investment programming strategy to prioritize disaster risk reduction and management according to levels of vulnerability to multiple hazards.","Result Indicator A1. A methodology for national-level risk-informed planning has been developed and applied by the National Economic and Development Authority in planning and public investment programming.
Result Indicator A2. Disaster risk reduction measures are integrated in revisions to the National Building Code of the Philippines (NBCP) developed by the Department of Public Works and Highways.
Result Indicator A3. Provincial Commodity Investment Plans (PCIPs) developed using the expanded Vulnerability and Suitability Assessment (eVSA) tool are approved by the Department of Agriculture under the Philippine Rural Development Program (PRDP) and under implementation.
Result Indicator A4. Policy framework for post-disaster shelter assistance (through recovery and reconstruction phases) formulated by the member agencies of the Social Development Committee and endorsed to the Social Development Committee – Technical Board.
Result Indicator A5. Multi-hazard vulnerability assessments of priority cultural heritage sites completed by the Department of Tourism and assessment methodology adopted in the Philippine Standards for Conservation."
P155656,Philippines,Disaster Risk Financing strategies and instruments,"The Borrower has included special provisions in the General Appropriations Act to allow four agencies (Department of Education, Department of Public Works and Highways, Department of Health and Department of Transportation and Communications) to use the National DRRM Fund to pay for insurance premiums.","Results Indicator B1. Joint catastrophe risk insurance program for Local Government Units (LGUs) developed by the Department of Finance.
Result Indicator B2. Number of line agencies that have developed and piloted their Disaster Risk Financing and Insurance (DRFI) strategy.
Result Indicator B3. Design of property catastrophe risk insurance pool for homeowners established by the Department of Finance and the Insurance Commission.
Results Indicator B4. Program developed and commenced for post-disaster emergency income support by the Department of Budget and Management, Department of Social Welfare and Development and the Department of Finance.
Results Indicator B5. Catastrophe risk insurance database template updated and adopted by the Insurance Commission."
P155656,Philippines,Disaster Risk Financing strategies and instruments,"The Department of Finance has adopted the Disaster Risk Financing and Insurance Strategy, which provides a comprehensive framework for the implementation of financial protection solutions against natural disasters at national, local and individual level.","Results Indicator B1. Joint catastrophe risk insurance program for Local Government Units (LGUs) developed by the Department of Finance.
Result Indicator B2. Number of line agencies that have developed and piloted their Disaster Risk Financing and Insurance (DRFI) strategy.
Result Indicator B3. Design of property catastrophe risk insurance pool for homeowners established by the Department of Finance and the Insurance Commission.
Results Indicator B4. Program developed and commenced for post-disaster emergency income support by the Department of Budget and Management, Department of Social Welfare and Development and the Department of Finance.
Results Indicator B5. Catastrophe risk insurance database template updated and adopted by the Insurance Commission."
P157489,Serbia,DRM policies and institutions,"The borrower, issued Government Conclusion No. 05 217‐1906/2017‐1 to adopt the National DRM Action Plan which identifies the activities to be implemented under the NDRMP.","B1-National flood risk assessment completed.
B2-Number of sectors and institutions that are using an open-source geospatial platform with risk information.
B3-Number of sectors and local self-governments that have applied the post-disaster loss and needs assessment methodology."
P157489,Serbia,Disaster Risk Financing strategies and instruments,"The borrower, through its National Cabinet, has adopted a DRF Program to guide the implementation of financial protection measures to: (a) maintain fiscal health at the national level, necessary to support long‐term rehabilitation and reconstruction needs, (b) develop sustainable disaster risk financing mechanisms for local self‐governments, and (c) reduce the impact of disasters on the poorest and most vulnerable population.","C2-GoS prepared and enacted a set of fiscal incentives and a model DRFI plan for local governments to facilitate wider use of budgetary protection instruments against the financial consequences of nat
C1-Fiscal risk unit established, staffed, and functioning as demonstrated by (a) adoption of the Systematization Act which sets out the number of positions and (b) the identification and quantification
C3-A report on consolidated information on historical post-disaster expenditure data is produced annually and submitted to the Budget Department."
P157489,Serbia,Resilient Reconstruction,"The borrower has issued Decree No. 95/15 to establish the PIMO and adopted the Law on Reconstruction following Natural and other Hazards to operationalize the PIMO with the mandate to support reconstruction, carry out procurements of goods and services, coordinate the work of other agencies involved in reconstruction, and organize post‐disaster damage and needs assessments.","A1- PIMO staffed and functioning as demonstrated by the adoption of a Systematization Act and submission of Annual Reports to the Borrower's Cabinet
A2-Systematization Act to operationalize a new government institution or agency to implement Law on Natural and other Hazard Risk Reduction and Emergency Management adopted."
P159351,Dominican Republic,Public investment at the central level,The Government has established mandatory technical standards for incorporating disaster and climate risk analysis into the design and formulation of all public investment projects.,"PIPs approved in the SNIP after technical standards came into effect (July 20, 2017)."
P159351,Dominican Republic,Sector-specific risk reduction measures,"The Government has issued mandatory technical regulations for granting operating permits to health facilities by requiring: (i) compliance with MSP’s guidelines for the design, construction, and finishing of health facilities, and (ii) an assessment of the health facilities built before 2011 using the Hospital Safety Index.",Number of health facilities constructed before 2011 and receiving an operating permit after the approval of the technical regulations have been assessed using the Hospital Safety Index.
P159351,Dominican Republic,Sector-specific risk reduction measures,The Government has strengthened its technical regulations for the supervision and inspection of construction works by requiring said works to comply with all applicable building regulations,Number of construction works with a building permit that have been inspected by the MOPC following the norms established by the updated Regulation for the Supervision and General Inspection of Works (R-004)
P159351,Dominican Republic,Sector-specific risk reduction measures,The Government has strengthened its capacity to incorporate safety standards in the management of school infrastructure by (i) creating a General Directorate for Risk Management within MINERD; (ii) creating a General Directorate for Building Rehabilitation within MINERD with responsibility for existing school infrastructure rehabilitation and retrofitting; and (iii) centralizing the supervision of school infrastructure construction under the MOPC and in coordination with MINERD.,"Percentage (%) of public schools with a disaster risk assessment which are included in a rehabilitation and retrofitting program
Percentage (%) of public schools for which a disaster risk assessment has been conducted."
P159351,Dominican Republic,Sector-specific risk reduction measures,The Government has enhanced flood and drought risk reduction by creating an interinstitutional structure to coordinate and facilitate the work of the Government’s institutions responsible for integrated water resource management.,"Number of risk-prone areas in main watershed basins that have been prioritized, by hydrological and hydrometeorological studies, to undergo improvements in water management."
P159351,Dominican Republic,Fiscal Risk,"The Government has established new institutional structures for quantifying, pricing, and managing contingent liabilities associated with climate and disaster risks by (i) establishing an interinstitutional body to assess and quantify the socioeconomic and fiscal impacts of natural disasters, (ii) granting legal mandate to the MH’s General Directorate for Fiscal Analysis and Policy to estimate and assess the impacts of disaster and climate-related risks on fiscal accounts as part of managing contingent liabilities and (iii) granting legal mandate to the MH’s General Directorate of Public Credit to manage the contracting of financial instruments for risk transfer according to the country’s applicable legislation.",Contingent liabilities associated with disasters are published and incorporated in the medium-term fiscal framework published by the Ministry of Finance.
P159710,Guatemala,DRM policies and institutions,The Government has adopted a DRM roadmap including contingency plans and information dissemination activities to strengthen risk management and resilience for volcanic hazards.,"A.2a: National Institute of Seismology, Volcanology, Meteorology and Hydrology (INSIVUMEH), restructured, strengthened and providing enhanced hazard information related to volcano activity.
A.2b: Coordination of humanitarian assistance guided by the updated National Humanitarian Assistance Manual adopted by the Executive Secretariat of the National Coordinator for Disaster Reduction."
P159710,Guatemala,DRM policies and institutions,"The Government has submitted to its Congress a bill of law to strengthen the legal DRM framework, establish a national system for DRM and define procedures and instruments to enhance risk knowledge and reduction, disaster preparedness and response, and resilient recovery.","A.1a: Percentage of municipalities that have included disaster risk reduction activities in their local development plans.
A.1b: Percentage of municipalities that have created or updated local DRM committees in line with the new DRM framework.
A.1c: Number of educational facilities constructed in compliance with the technical criteria adopted by the Ministry of Education about safe location and seismic-resistant infrastructure."
P159710,Guatemala,Sector-specific risk reduction measures,The Government has strengthened the DRM’s institutional framework in the environmental sector by creating the Department of Integral Environmental Risk Management within the Ministry of Environment and Natural Resources.,A.3a:Number of local communities with environmental risk evaluations completed and disseminated and trained to protect strategic ecosystems and the livelihoods provided by them.
P159710,Guatemala,Fiscal Risk,"The Government has enhanced the efficiency of public spending, planning and budget allocation processes related to DRM and CCA activities by clarifying the responsibilities of the thematic budget classifiers’ governing bodies and updating the scope of said instruments throughout its budget cycle","B.3a: Number of government institutions implementing thematic classifiers in DRM and CCA in line with the new conceptual guide and implementation manual.
B.3b: Permanent National DRM Fund annually funded and operational in line with the DRFS."
P159710,Guatemala,Fiscal Risk,The Government has created the position of Fiscal Transparency and Procurement Vice-Minister within MINFIN and clarified the functions and responsibilities of MINFIN; and approved an integrated analysis of fiscal risks to strengthen the management of fiscal risks and enhance transparency of public spending.,"B.2a: Number of new emergency procurement tools and mechanisms in place for dealing with adverse natural events.
B.2b: Number of fiscal risk budget reports elaborated by the Directorate of Fiscal Transparency that consider natural hazards and climate risks."
P159710,Guatemala,Disaster Risk Financing strategies and instruments,The Government has approved and published a Disaster Risk Financing Strategy (DRFS) to promote diversification of disaster related financial instruments and enhance capacity to respond to disasters.,"B.1a: Number of new financial instruments established in line with the DRFS.
B.1b: Accelerated response time in providing emergency funds after the declaration of emergency.
B.1c: Operations Manual for the implementation of the DRFS adopted by the Ministry of Public Finance (MINFIN)."
P160628,Cabo Verde,DRM policies and institutions,The Government has adopted the National Disaster Risk Reduction Strategy.,Annual progress report of implementation of the ENRRD strategy presented to the National Civil Protection Council
P160628,Cabo Verde,Risk Identification,"The Government has reformed the National Statistical System which incorporates open data standards, protocols and procedures.","Number of monthly request forms to access INE data from registered institutional users
Number of MOUs signed between INE and public institutions/sectors to systematically share data with INE"
P160628,Cabo Verde,Territorial and urban planning,The Government has amended the Territorial Planning Legal Framework to incorporate the use of disaster and climate-related risk information in the development of territorial planning instruments.,"All new detailed municipal plans (PD) incorporate disaster and climate-related risk management considerations.
Proportion of Special Touristic Areas (ZDTI) with Tourist Development Plans (POT) that incorporate disaster and climate-related risk management considerations"
P160628,Cabo Verde,Fiscal Risk,The Government has created a Risk Management Unit in the Treasury Department of the Ministry of Finance.,Report on contingent liabilities including those associated with disaster and climate-related shocks published together with the medium-term fiscal framework
P160628,Cabo Verde,Disaster Risk Financing strategies and instruments,The Government has created the National Emergency Fund to finance emergency response and recovery in the case of a disaster or climate-related shock.,"Allocation to the National Emergency Fund included annually in national budget
Annual activity and accounting report for the National Emergency Fund approved by its Board"
P161562,Kenya,DRM policies and institutions,"The Cabinet has adopted a National Disaster Risk Management Policy, which establishes, streamlines and strengthens DRM institutions, coordination frameworks, partnerships, and regulations in Kenya",National Disaster Risk Management Strategy that strengthens government coordination for climate resilience and DRM adopted
P161562,Kenya,Mainstreaming DRM into national development plans,"Cabinet has adopted the Medium-Term Plan III (2018-2022) of Kenya’s Vision 2030, which promotes a shift from emergency response to a more comprehensive DRM approach.","County level emergency and/or contingency plans adopted that strengthens response capacity
Disaster risk profiles produced to inform implementation of County Integrated Development Plans"
P161562,Kenya,Territorial and urban planning,Parliament has approved the National Land Use Policy which promotes land use practices that increase resilience to climate and disaster risk.,Physical Planning Handbook is revised to incorporate DRM and climate change adaptation considerations
P161562,Kenya,Territorial and urban planning,Parliament has approved the National Urban Development Policy which incorporates urban disaster risk management,"Urban resilience strategies prepared to enhance city management
New Building Code approved that incorporates multi-hazard resilient design standards"
P161562,Kenya,Sector-specific risk reduction measures,The Water Act 2016 which supports programs for water resources management including disaster management and climate change adaptation has come into operation.,National Water Harvesting and Storage Authority established for improved water resource and drought management
P161562,Kenya,Disaster Risk Financing strategies and instruments,"Parliament has adopted the Kenya National Policy on Climate Finance which aims to enhance national financial systems and institutional capacity to effectively access, disburse, absorb, manage, monitor and report on climate finance in support of national sustainable development goals.","Establishment of a national climate finance mechanism to support mobilization, coordination and tracking of climate finance from both internal and external sources"
P161562,Kenya,Disaster Risk Financing strategies and instruments,"The National Disaster Risk Financing Strategy, which defines strategic priorities to improve post-disaster financing to enable effective and timely action in the event of a disaster, has been approved.","Number of households eligible for disaster relief through financial protection instruments
Reports on consolidated post-disaster expenditure produced annually and submitted to the Budget Department within National Treasury"
